,畢業滿_年,工作職業類型
4436,5,
4437,1,物流運輸類
4438,5,
4439,1,休閒與觀光旅遊類
4440,5,
4441,1,企業經營管理類
4442,3,企業經營管理類
4443,5,
4444,1,
4445,5,
4446,3,行銷與銷售類
4447,3,資訊科技類
4448,5,
4449,5,
4450,5,
4451,1,行銷與銷售類
4452,1,金融財務類
4453,3,金融財務類
4454,5,
4455,3,金融財務類
4456,1,金融財務類
4457,3,企業經營管理類
4458,1,製造業
4459,3,行銷與銷售類
4460,1,
4461,1,資訊科技類
4462,3,製造業
4463,1,個人及社會服務類
4464,3,企業經營管理類
4465,3,金融財務類
4466,5,
4467,1,金融財務類
4468,1,
4469,1,休閒與觀光旅遊類
4470,3,休閒與觀光旅遊類
4471,1,
4472,3,資訊科技類
4473,1,資訊科技類
4474,5,
4475,1,金融財務類
4476,1,科學、技術、工程、數學類
4477,3,建築營造業
4478,1,行銷與銷售類
4479,3,行銷與銷售類
4480,1,醫療保健類
4481,3,資訊科技類
4482,1,
4483,1,個人及社會服務類
4484,3,個人及社會服務類
4485,3,金融財務類
4486,5,
4487,1,
4488,1,
4489,1,金融財務類
4490,3,金融財務類
4491,1,行銷與銷售類
4492,5,
4493,3,行銷與銷售類
4494,1,藝文與影音傳播類
4495,3,行銷與銷售類
4496,3,政府公共事務類
4497,1,
4498,1,
4499,3,教育與訓練類
4500,3,
4501,1,
4502,1,
4503,1,
4504,5,
4505,1,
4506,3,司法、法律與公共安全類
4507,1,
4508,3,建築營造業
4509,5,
4510,3,天然資源、食品與農業類
4511,1,製造業
4512,5,
4513,1,
4514,1,製造業
4515,1,金融財務類
4516,3,製造業
4517,1,天然資源、食品與農業類
4518,5,
4519,1,物流運輸類
4520,3,物流運輸類
4521,1,金融財務類
4522,1,政府公共事務類
4523,3,政府公共事務類
4524,5,
4525,5,
4526,1,製造業
4527,3,製造業
4528,1,
4529,3,行銷與銷售類
4530,1,
4531,3,政府公共事務類
4532,1,金融財務類
4533,3,金融財務類
4534,1,金融財務類
4535,3,醫療保健類
4536,1,醫療保健類
4537,5,
4538,3,天然資源、食品與農業類
4539,1,天然資源、食品與農業類
4540,1,
4541,3,行銷與銷售類
4542,3,企業經營管理類
4543,1,休閒與觀光旅遊類
4544,1,金融財務類
4545,5,
4546,1,
4547,5,
4548,1,科學、技術、工程、數學類
4549,3,金融財務類
4550,1,
4551,1,
4552,3,科學、技術、工程、數學類
4553,1,
4554,3,企業經營管理類
4555,1,政府公共事務類
4556,1,休閒與觀光旅遊類
4557,3,行銷與銷售類
4558,3,企業經營管理類
4559,5,
4560,1,政府公共事務類
4561,3,
4562,1,
4563,3,資訊科技類
4564,1,資訊科技類
4565,1,資訊科技類
4566,5,
4567,1,資訊科技類
4568,3,資訊科技類
4569,5,
4570,3,資訊科技類
4571,1,資訊科技類
4572,5,
4573,3,資訊科技類
4574,1,資訊科技類
4575,3,資訊科技類
4576,1,資訊科技類
4577,5,
4578,3,資訊科技類
4579,1,
4580,3,
4581,3,資訊科技類
4582,1,資訊科技類
4583,1,資訊科技類
4584,3,製造業
4585,5,
4586,1,
4587,1,資訊科技類
4588,3,資訊科技類
4589,1,資訊科技類
4590,5,
4591,3,資訊科技類
4592,1,資訊科技類
4593,5,
4594,5,
4595,1,資訊科技類
4596,5,
4597,3,金融財務類
4598,1,藝文與影音傳播類
4599,3,
4600,3,金融財務類
4601,1,
4602,1,資訊科技類
4603,5,
4604,1,資訊科技類
4605,1,行銷與銷售類
4606,5,
4607,3,資訊科技類
4608,5,
4609,1,資訊科技類
4610,3,資訊科技類
4611,3,行銷與銷售類
4612,5,
4613,1,資訊科技類
4614,3,金融財務類
4615,1,金融財務類
4616,1,政府公共事務類
4617,1,
4618,3,資訊科技類
4619,3,資訊科技類
4620,1,資訊科技類
4621,5,
4622,1,資訊科技類
4623,1,金融財務類
4624,1,資訊科技類
4625,3,資訊科技類
4626,1,行銷與銷售類
4627,1,司法、法律與公共安全類
4628,1,行銷與銷售類
4629,1,休閒與觀光旅遊類
4630,1,製造業
4631,5,
4632,3,製造業
4633,3,金融財務類
4634,1,行銷與銷售類
4635,1,
4636,1,政府公共事務類
4637,5,
4638,3,行銷與銷售類
4639,1,資訊科技類
4640,5,
4641,3,資訊科技類
4642,1,
4643,1,製造業
4644,5,
4645,5,
4646,1,資訊科技類
4647,5,
4648,1,資訊科技類
4649,3,行銷與銷售類
4650,1,政府公共事務類
4651,1,教育與訓練類
4652,1,金融財務類
4653,3,教育與訓練類
4654,1,
4655,5,
4656,3,科學、技術、工程、數學類
4657,1,
4658,1,資訊科技類
4659,3,製造業
4660,5,
4661,1,物流運輸類
4662,1,
4663,1,
4664,1,
4665,1,休閒與觀光旅遊類
4666,1,
4667,1,
4668,5,
4669,1,行銷與銷售類
4670,3,資訊科技類
4671,5,
4672,3,行銷與銷售類
4673,1,行銷與銷售類
4674,1,企業經營管理類
4675,3,資訊科技類
4676,3,藝文與影音傳播類
4677,1,藝文與影音傳播類
4678,1,行銷與銷售類
4679,1,藝文與影音傳播類
4680,3,行銷與銷售類
4681,1,金融財務類
4682,3,金融財務類
4683,1,企業經營管理類
4684,1,行銷與銷售類
4685,3,資訊科技類
4686,5,
4687,3,
4688,1,行銷與銷售類
4689,1,企業經營管理類
4690,3,行銷與銷售類
4691,5,
4692,1,教育與訓練類
4693,1,行銷與銷售類
4694,3,金融財務類
4695,5,
4696,3,行銷與銷售類
4697,5,
4698,1,行銷與銷售類
4699,3,教育與訓練類
4700,1,行銷與銷售類
4701,5,
4702,3,製造業
4703,1,行銷與銷售類
4704,3,物流運輸類
4705,1,物流運輸類
4706,5,
4707,3,金融財務類
4708,1,休閒與觀光旅遊類
4709,3,行銷與銷售類
4710,5,
4711,3,行銷與銷售類
4712,5,
4713,3,
4714,1,
4715,3,政府公共事務類
4716,3,藝文與影音傳播類
4717,1,藝文與影音傳播類
4718,1,企業經營管理類
4719,3,金融財務類
4720,3,金融財務類
4721,1,金融財務類
4722,5,
4723,1,藝文與影音傳播類
4724,1,行銷與銷售類
4725,3,
4726,5,
4727,1,藝文與影音傳播類
4728,3,建築營造業
4729,1,藝文與影音傳播類
4730,3,藝文與影音傳播類
4731,5,
4732,3,資訊科技類
4733,1,行銷與銷售類
4734,1,行銷與銷售類
4735,1,藝文與影音傳播類
4736,3,教育與訓練類
4737,3,資訊科技類
4738,3,行銷與銷售類
4739,1,藝文與影音傳播類
4740,3,行銷與銷售類
4741,1,藝文與影音傳播類
4742,5,
4743,3,
4744,1,司法、法律與公共安全類
4745,3,行銷與銷售類
4746,3,政府公共事務類
4747,5,
4748,1,企業經營管理類
4749,5,
4750,3,行銷與銷售類
4751,3,藝文與影音傳播類
4752,1,藝文與影音傳播類
4753,3,休閒與觀光旅遊類
4754,3,藝文與影音傳播類
4755,1,行銷與銷售類
4756,3,教育與訓練類
4757,1,藝文與影音傳播類
4758,3,行銷與銷售類
4759,1,
4760,3,
4761,1,藝文與影音傳播類
4762,3,企業經營管理類
4763,1,藝文與影音傳播類
4764,3,企業經營管理類
4765,3,金融財務類
4766,1,藝文與影音傳播類
4767,3,藝文與影音傳播類
4768,1,藝文與影音傳播類
4769,1,藝文與影音傳播類
4770,3,行銷與銷售類
4771,1,教育與訓練類
4772,3,教育與訓練類
4773,1,企業經營管理類
4774,5,
4775,3,行銷與銷售類
4776,3,藝文與影音傳播類
4777,1,藝文與影音傳播類
4778,3,藝文與影音傳播類
4779,5,
4780,3,企業經營管理類
4781,1,資訊科技類
4782,3,企業經營管理類
4783,3,行銷與銷售類
4784,1,金融財務類
4785,1,藝文與影音傳播類
4786,3,物流運輸類
4787,5,
4788,1,
4789,3,企業經營管理類
4790,3,
4791,1,
4792,1,
4793,3,行銷與銷售類
4794,1,資訊科技類
4795,3,行銷與銷售類
4796,3,科學、技術、工程、數學類
4797,1,藝文與影音傳播類
4798,3,企業經營管理類
4799,1,藝文與影音傳播類
4800,5,
4801,1,藝文與影音傳播類
4802,3,藝文與影音傳播類
4803,3,企業經營管理類
4804,5,
4805,1,藝文與影音傳播類
4806,3,藝文與影音傳播類
4807,1,藝文與影音傳播類
4808,3,藝文與影音傳播類
4809,5,
4810,3,藝文與影音傳播類
4811,1,藝文與影音傳播類
4812,1,藝文與影音傳播類
4813,3,藝文與影音傳播類
4814,5,
4815,5,
4816,1,藝文與影音傳播類
4817,3,藝文與影音傳播類
4818,3,行銷與銷售類
4819,1,休閒與觀光旅遊類
4820,5,
4821,3,行銷與銷售類
4822,1,
4823,3,
4824,3,資訊科技類
4825,1,藝文與影音傳播類
4826,5,
4827,5,
4828,5,
4829,3,藝文與影音傳播類
4830,1,藝文與影音傳播類
4831,3,藝文與影音傳播類
4832,1,
4833,5,
4834,3,藝文與影音傳播類
4835,1,
4836,3,製造業
4837,1,藝文與影音傳播類
4838,1,藝文與影音傳播類
4839,5,
4840,1,教育與訓練類
4841,3,藝文與影音傳播類
4842,5,
4843,1,藝文與影音傳播類
4844,3,藝文與影音傳播類
4845,5,
4846,1,個人及社會服務類
4847,3,休閒與觀光旅遊類
4848,5,
4849,1,資訊科技類
4850,3,科學、技術、工程、數學類
4851,1,藝文與影音傳播類
4852,3,藝文與影音傳播類
4853,3,藝文與影音傳播類
4854,1,藝文與影音傳播類
4855,5,
4856,1,
4857,3,藝文與影音傳播類
4858,1,藝文與影音傳播類
4859,1,
4860,5,
4861,3,藝文與影音傳播類
4862,1,藝文與影音傳播類
4863,3,藝文與影音傳播類
4864,5,
4865,3,藝文與影音傳播類
4866,1,
4867,3,藝文與影音傳播類
4868,1,行銷與銷售類
4869,1,金融財務類
4870,5,
4871,3,製造業
4872,1,藝文與影音傳播類
4873,3,行銷與銷售類
4874,1,藝文與影音傳播類
4875,3,藝文與影音傳播類
4876,5,
4877,1,藝文與影音傳播類
4878,5,
4879,1,行銷與銷售類
4880,3,藝文與影音傳播類
4881,1,資訊科技類
4882,3,藝文與影音傳播類
4883,5,
4884,1,藝文與影音傳播類
4885,1,
4886,1,建築營造業
4887,3,
4888,1,
4889,5,
4890,5,
4891,3,金融財務類
4892,1,藝文與影音傳播類
4893,3,教育與訓練類
4894,5,
4895,3,資訊科技類
4896,5,
4897,1,
4898,1,
4899,3,
4900,3,金融財務類
4901,1,金融財務類
4902,1,
4903,1,
4904,1,
4905,3,
4906,1,
4907,3,
4908,1,
4909,1,
4910,3,
4911,1,
4912,1,
4913,1,
4914,3,
4915,1,
4916,3,
4917,1,
4918,1,
4919,3,金融財務類
4920,3,
4921,1,
4922,1,金融財務類
4923,1,
4924,3,製造業
4925,1,
4926,3,金融財務類
4927,1,
4928,3,金融財務類
4929,1,
4930,3,資訊科技類
4931,3,
4932,1,
4933,1,
4934,1,企業經營管理類
4935,3,企業經營管理類
4936,1,
4937,3,金融財務類
4938,3,
4939,1,
4940,3,藝文與影音傳播類
4941,1,
4942,1,教育與訓練類
4943,3,行銷與銷售類
4944,1,
4945,3,個人及社會服務類
4946,1,
4947,3,金融財務類
4948,3,行銷與銷售類
4949,1,個人及社會服務類
4950,1,醫療保健類
4951,1,藝文與影音傳播類
4952,1,
4953,3,行銷與銷售類
4954,1,
4955,1,
4956,1,個人及社會服務類
4957,1,個人及社會服務類
4958,1,
4959,3,
4960,1,
4961,1,
4962,1,
4963,1,
4964,3,個人及社會服務類
4965,1,
4966,3,金融財務類
4967,1,金融財務類
4968,3,
4969,1,
4970,1,
4971,3,金融財務類
4972,3,行銷與銷售類
4973,1,
4974,1,金融財務類
4975,3,製造業
4976,1,
4977,1,金融財務類
4978,1,
4979,1,
4980,3,金融財務類
4981,3,
4982,1,
4983,1,
4984,3,
4985,1,
4986,1,
4987,3,
4988,1,政府公共事務類
4989,3,政府公共事務類
4990,1,
4991,3,金融財務類
4992,1,
4993,3,金融財務類
4994,1,
4995,1,教育與訓練類
4996,3,司法、法律與公共安全類
4997,1,
4998,3,金融財務類
4999,1,
5000,1,
5001,3,金融財務類
5002,1,金融財務類
5003,3,
5004,1,
5005,3,金融財務類
5006,3,
5007,3,行銷與銷售類
5008,1,
5009,1,
5010,3,金融財務類
5011,3,
5012,3,金融財務類
5013,1,
5014,3,資訊科技類
5015,1,
5016,3,
5017,1,
5018,3,藝文與影音傳播類
5019,3,
5020,1,
5021,3,教育與訓練類
5022,1,
5023,1,金融財務類
5024,3,金融財務類
5025,3,金融財務類
5026,1,
5027,1,
5028,3,資訊科技類
5029,3,金融財務類
5030,1,
5031,3,政府公共事務類
5032,1,
5033,1,
5034,3,醫療保健類
5035,1,
5036,3,金融財務類
5037,1,
5038,3,製造業
5039,1,
5040,3,金融財務類
5041,1,企業經營管理類
5042,3,
5043,1,
5044,3,建築營造業
5045,1,
5046,3,金融財務類
5047,1,
5048,3,金融財務類
5049,3,行銷與銷售類
5050,1,
5051,1,
5052,3,金融財務類
5053,3,
5054,1,
5055,1,
5056,3,
5057,3,金融財務類
5058,1,
5059,3,金融財務類
5060,1,
5061,3,建築營造業
5062,1,
5063,1,
5064,3,
5065,3,政府公共事務類
5066,1,
5067,3,金融財務類
5068,3,金融財務類
5069,1,
5070,3,行銷與銷售類
5071,1,金融財務類
5072,3,教育與訓練類
5073,1,
5074,3,金融財務類
5075,1,
5076,3,藝文與影音傳播類
5077,1,
5078,3,資訊科技類
5079,1,
5080,1,行銷與銷售類
5081,3,資訊科技類
5082,3,行銷與銷售類
5083,1,
5084,3,物流運輸類
5085,1,
5086,3,金融財務類
5087,1,醫療保健類
5088,3,政府公共事務類
5089,1,
5090,1,教育與訓練類
5091,1,
5092,1,
5093,1,
5094,3,政府公共事務類
5095,3,
5096,1,
5097,3,金融財務類
5098,1,
5099,1,
5100,3,金融財務類
5101,3,個人及社會服務類
5102,1,
5103,3,資訊科技類
5104,1,
5105,3,
5106,3,金融財務類
5107,3,
5108,1,
5109,3,
5110,1,
5111,3,
5112,1,
5113,1,
5114,1,
5115,3,
5116,1,
5117,1,
5118,3,
5119,1,
5120,3,
5121,1,
5122,1,
5123,1,
5124,3,行銷與銷售類
5125,1,
5126,1,
5127,1,
5128,1,
5129,1,製造業
5130,1,
5131,1,行銷與銷售類
5132,1,
5133,3,醫療保健類
5134,1,
5135,1,
5136,3,
5137,3,金融財務類
5138,1,
5139,1,
5140,1,
5141,3,行銷與銷售類
5142,1,
5143,1,企業經營管理類
5144,1,
5145,1,行銷與銷售類
5146,3,行銷與銷售類
5147,1,
5148,1,
5149,1,
5150,3,
5151,1,
5152,1,
5153,3,製造業
5154,1,
5155,3,金融財務類
5156,1,行銷與銷售類
5157,1,
5158,1,
5159,3,資訊科技類
5160,1,
5161,3,醫療保健類
5162,1,
5163,1,
5164,3,
5165,1,教育與訓練類
5166,1,
5167,3,資訊科技類
5168,1,
5169,1,
5170,3,金融財務類
5171,3,
5172,1,
5173,1,
5174,3,
5175,1,
5176,1,企業經營管理類
5177,3,
5178,1,
5179,1,
5180,3,教育與訓練類
5181,1,
5182,1,
5183,3,
5184,3,
5185,1,
5186,3,
5187,1,行銷與銷售類
5188,1,
5189,1,
5190,3,行銷與銷售類
5191,3,
5192,1,
5193,3,
5194,1,行銷與銷售類
5195,3,
5196,1,
5197,1,企業經營管理類
5198,3,金融財務類
5199,1,
5200,1,
5201,3,企業經營管理類
5202,1,
5203,3,
5204,3,行銷與銷售類
5205,1,
5206,1,行銷與銷售類
5207,3,資訊科技類
5208,1,
5209,1,
5210,3,
5211,1,
5212,1,
5213,3,
5214,1,
5215,3,企業經營管理類
5216,1,
5217,1,
5218,1,教育與訓練類
5219,3,
5220,1,
5221,1,
5222,3,
5223,1,
5224,1,
5225,3,
5226,1,
5227,1,
5228,3,行銷與銷售類
5229,3,
5230,1,
5231,3,資訊科技類
5232,1,
5233,3,
5234,1,
5235,1,
5236,3,
5237,1,
5238,1,
5239,3,
5240,3,資訊科技類
5241,1,
5242,3,政府公共事務類
5243,1,
5244,1,
5245,3,資訊科技類
5246,1,
5247,3,企業經營管理類
5248,1,
5249,1,
5250,1,
5251,3,金融財務類
5252,1,
5253,1,
5254,1,
5255,3,資訊科技類
5256,3,資訊科技類
5257,1,
5258,3,
5259,1,
5260,1,
5261,3,
5262,1,
5263,3,
5264,1,
5265,1,
5266,1,
5267,3,資訊科技類
5268,1,
5269,3,資訊科技類
5270,1,
5271,1,
5272,3,資訊科技類
5273,3,資訊科技類
5274,1,
5275,3,
5276,3,
5277,1,
5278,3,個人及社會服務類
5279,1,
5280,3,金融財務類
5281,1,
5282,3,
5283,1,
5284,1,
5285,3,醫療保健類
5286,3,
5287,1,
5288,3,
5289,1,
5290,1,
5291,3,
5292,3,
5293,1,
5294,1,
5295,3,
5296,1,
5297,3,
5298,1,
5299,1,
5300,3,政府公共事務類
5301,3,
5302,1,
5303,3,個人及社會服務類
5304,1,
5305,1,個人及社會服務類
5306,1,
5307,1,教育與訓練類
5308,3,教育與訓練類
5309,1,
5310,1,
5311,1,
5312,1,
5313,3,
5314,1,
5315,3,
5316,1,
5317,3,行銷與銷售類
5318,3,資訊科技類
5319,1,
5320,3,資訊科技類
5321,1,
5322,1,
5323,1,
5324,1,
5325,1,
5326,1,
5327,1,
5328,3,休閒與觀光旅遊類
5329,1,
5330,1,
5331,1,
5332,1,
5333,1,
5334,3,
5335,1,教育與訓練類
5336,1,
5337,1,
5338,1,
5339,5,
5340,3,金融財務類
5341,3,金融財務類
5342,1,金融財務類
5343,3,金融財務類
5344,5,
5345,5,
5346,3,金融財務類
5347,3,金融財務類
5348,5,
5349,1,金融財務類
5350,5,
5351,3,金融財務類
5352,1,
5353,5,
5354,3,個人及社會服務類
5355,3,金融財務類
5356,5,
5357,3,金融財務類
5358,3,金融財務類
5359,5,
5360,5,
5361,1,金融財務類
5362,3,金融財務類
5363,3,金融財務類
5364,3,金融財務類
5365,3,金融財務類
5366,3,物流運輸類
5367,5,
5368,3,
5369,3,行銷與銷售類
5370,5,
5371,3,教育與訓練類
5372,5,
5373,3,金融財務類
5374,3,企業經營管理類
5375,3,金融財務類
5376,5,
5377,5,
5378,3,
5379,1,
5380,3,教育與訓練類
5381,3,資訊科技類
5382,3,資訊科技類
5383,5,
5384,3,資訊科技類
5385,1,建築營造業
5386,5,
5387,1,資訊科技類
5388,5,
5389,3,資訊科技類
5390,5,
5391,3,教育與訓練類
5392,1,資訊科技類
5393,1,科學、技術、工程、數學類
5394,3,建築營造業
5395,3,資訊科技類
5396,3,資訊科技類
5397,5,
5398,3,行銷與銷售類
5399,3,金融財務類
5400,5,
5401,3,資訊科技類
5402,5,
5403,5,
5404,3,行銷與銷售類
5405,1,資訊科技類
5406,3,教育與訓練類
5407,3,行銷與銷售類
5408,5,
5409,5,
5410,3,政府公共事務類
5411,3,資訊科技類
5412,3,企業經營管理類
5413,3,企業經營管理類
5414,3,資訊科技類
5415,5,
5416,5,
5417,3,資訊科技類
5418,3,政府公共事務類
5419,1,金融財務類
5420,5,
5421,3,金融財務類
5422,3,金融財務類
5423,1,金融財務類
5424,1,資訊科技類
5425,5,
5426,3,金融財務類
5427,1,金融財務類
5428,5,
5429,3,金融財務類
5430,1,金融財務類
5431,3,金融財務類
5432,1,金融財務類
5433,5,
5434,1,金融財務類
5435,3,金融財務類
5436,1,金融財務類
5437,1,政府公共事務類
5438,3,金融財務類
5439,3,金融財務類
5440,1,金融財務類
5441,1,
5442,5,
5443,3,
5444,3,
5445,1,金融財務類
5446,3,金融財務類
5447,1,金融財務類
5448,3,
5449,1,金融財務類
5450,1,金融財務類
5451,3,金融財務類
5452,1,個人及社會服務類
5453,3,
5454,1,金融財務類
5455,5,
5456,3,金融財務類
5457,1,金融財務類
5458,1,金融財務類
5459,3,金融財務類
5460,1,行銷與銷售類
5461,1,金融財務類
5462,1,金融財務類
5463,3,金融財務類
5464,3,金融財務類
5465,1,金融財務類
5466,3,金融財務類
5467,5,
5468,1,
5469,3,
5470,1,
5471,5,
5472,3,
5473,5,
5474,1,
5475,1,金融財務類
5476,3,
5477,1,金融財務類
5478,1,
5479,5,
5480,3,企業經營管理類
5481,3,金融財務類
5482,1,金融財務類
5483,5,
5484,5,
5485,3,金融財務類
5486,1,金融財務類
5487,1,
5488,5,
5489,1,金融財務類
5490,5,
5491,1,金融財務類
5492,3,金融財務類
5493,3,金融財務類
5494,1,教育與訓練類
5495,3,金融財務類
5496,5,
5497,1,金融財務類
5498,5,
5499,3,金融財務類
5500,1,金融財務類
5501,3,行銷與銷售類
5502,1,行銷與銷售類
5503,5,
5504,1,金融財務類
5505,3,休閒與觀光旅遊類
5506,1,醫療保健類
5507,3,金融財務類
5508,1,
5509,5,
5510,3,
5511,1,金融財務類
5512,5,
5513,3,
5514,1,金融財務類
5515,1,物流運輸類
5516,5,
5517,1,金融財務類
5518,1,金融財務類
5519,3,金融財務類
5520,5,
5521,5,
5522,1,政府公共事務類
5523,5,
5524,3,金融財務類
5525,5,
5526,1,
5527,1,
5528,5,
5529,5,
5530,1,
5531,1,
5532,5,
5533,1,金融財務類
5534,5,
5535,3,金融財務類
5536,5,
5537,5,
5538,1,
5539,3,
5540,3,金融財務類
5541,1,金融財務類
5542,5,
5543,5,
5544,1,
5545,3,金融財務類
5546,5,
5547,3,企業經營管理類
5548,1,企業經營管理類
5549,1,
5550,3,金融財務類
5551,5,
5552,3,建築營造業
5553,5,
5554,1,企業經營管理類
5555,3,金融財務類
5556,5,
5557,1,金融財務類
5558,1,金融財務類
5559,3,醫療保健類
5560,5,
5561,1,金融財務類
5562,5,
5563,3,金融財務類
5564,5,
5565,1,金融財務類
5566,5,
5567,5,
5568,5,
5569,3,金融財務類
5570,1,
5571,1,行銷與銷售類
5572,5,
5573,3,休閒與觀光旅遊類
5574,1,
5575,5,
5576,5,
5577,3,金融財務類
5578,3,金融財務類
5579,5,
5580,1,
5581,1,金融財務類
5582,3,金融財務類
5583,5,
5584,3,
5585,5,
5586,5,
5587,1,藝文與影音傳播類
5588,5,
5589,5,
5590,3,金融財務類
5591,5,
5592,3,行銷與銷售類
5593,1,
5594,3,資訊科技類
5595,3,教育與訓練類
5596,1,
5597,1,政府公共事務類
5598,3,金融財務類
5599,3,製造業
5600,5,
5601,1,企業經營管理類
5602,5,
5603,1,資訊科技類
5604,3,行銷與銷售類
5605,3,
5606,1,行銷與銷售類
5607,1,
5608,3,
5609,3,物流運輸類
5610,1,休閒與觀光旅遊類
5611,5,
5612,1,
5613,3,
5614,3,行銷與銷售類
5615,3,企業經營管理類
5616,1,
5617,1,金融財務類
5618,1,
5619,5,
5620,1,資訊科技類
5621,3,資訊科技類
5622,1,製造業
5623,1,企業經營管理類
5624,1,行銷與銷售類
5625,3,
5626,1,
5627,5,
5628,5,
5629,1,資訊科技類
5630,3,醫療保健類
5631,1,資訊科技類
5632,5,
5633,3,教育與訓練類
5634,3,企業經營管理類
5635,1,休閒與觀光旅遊類
5636,3,行銷與銷售類
5637,1,製造業
5638,1,
5639,1,天然資源、食品與農業類
5640,3,司法、法律與公共安全類
5641,5,
5642,1,
5643,5,
5644,5,
5645,3,金融財務類
5646,1,行銷與銷售類
5647,1,行銷與銷售類
5648,5,
5649,3,行銷與銷售類
5650,1,金融財務類
5651,5,
5652,3,資訊科技類
5653,1,資訊科技類
5654,5,
5655,1,企業經營管理類
5656,1,
5657,1,休閒與觀光旅遊類
5658,5,
5659,1,休閒與觀光旅遊類
5660,1,企業經營管理類
5661,3,行銷與銷售類
5662,5,
5663,3,企業經營管理類
5664,5,
5665,1,行銷與銷售類
5666,3,企業經營管理類
5667,1,個人及社會服務類
5668,1,行銷與銷售類
5669,1,
5670,3,物流運輸類
5671,1,企業經營管理類
5672,5,
5673,5,
5674,3,企業經營管理類
5675,1,企業經營管理類
5676,3,企業經營管理類
5677,5,
5678,5,
5679,1,資訊科技類
5680,3,資訊科技類
5681,3,休閒與觀光旅遊類
5682,1,行銷與銷售類
5683,5,
5684,3,資訊科技類
5685,3,
5686,1,
5687,1,教育與訓練類
5688,3,企業經營管理類
5689,1,天然資源、食品與農業類
5690,5,
5691,1,金融財務類
5692,3,金融財務類
5693,1,休閒與觀光旅遊類
5694,3,資訊科技類
5695,5,
5696,5,
5697,1,行銷與銷售類
5698,3,資訊科技類
5699,3,企業經營管理類
5700,1,行銷與銷售類
5701,1,金融財務類
5702,5,
5703,3,建築營造業
5704,3,企業經營管理類
5705,1,企業經營管理類
5706,5,
5707,3,金融財務類
5708,3,金融財務類
5709,1,資訊科技類
5710,3,資訊科技類
5711,3,企業經營管理類
5712,1,企業經營管理類
5713,3,企業經營管理類
5714,1,
5715,1,製造業
5716,3,製造業
5717,5,
5718,3,製造業
5719,1,資訊科技類
5720,3,企業經營管理類
5721,1,行銷與銷售類
5722,5,
5723,3,金融財務類
5724,1,
5725,5,
5726,1,
5727,5,
5728,3,資訊科技類
5729,3,資訊科技類
5730,1,資訊科技類
5731,5,
5732,5,
5733,1,資訊科技類
5734,3,資訊科技類
5735,1,
5736,1,資訊科技類
5737,5,
5738,3,科學、技術、工程、數學類
5739,1,行銷與銷售類
5740,3,行銷與銷售類
5741,5,
5742,3,金融財務類
5743,1,
5744,5,
5745,3,企業經營管理類
5746,1,行銷與銷售類
5747,5,
5748,1,資訊科技類
5749,3,資訊科技類
5750,3,行銷與銷售類
5751,1,個人及社會服務類
5752,5,
5753,1,
5754,5,
5755,3,資訊科技類
5756,1,
5757,5,
5758,3,
5759,3,資訊科技類
5760,5,
5761,1,
5762,1,
5763,5,
5764,3,資訊科技類
5765,1,
5766,1,資訊科技類
5767,5,
5768,3,資訊科技類
5769,1,資訊科技類
5770,5,
5771,3,物流運輸類
5772,1,物流運輸類
5773,1,
5774,5,
5775,1,科學、技術、工程、數學類
5776,3,資訊科技類
5777,5,
5778,1,個人及社會服務類
5779,1,行銷與銷售類
5780,5,
5781,1,
5782,1,資訊科技類
5783,5,
5784,3,資訊科技類
5785,3,政府公共事務類
5786,1,資訊科技類
5787,1,個人及社會服務類
5788,1,教育與訓練類
5789,3,教育與訓練類
5790,1,
5791,3,
5792,5,
5793,3,資訊科技類
5794,1,
5795,5,
5796,5,
5797,1,政府公共事務類
5798,3,司法、法律與公共安全類
5799,3,
5800,1,
5801,1,
5802,1,司法、法律與公共安全類
5803,5,
5804,1,物流運輸類
5805,5,
5806,3,行銷與銷售類
5807,1,
5808,5,
5809,3,
5810,1,教育與訓練類
5811,3,行銷與銷售類
5812,5,
5813,3,製造業
5814,1,
5815,5,
5816,3,
5817,5,
5818,1,行銷與銷售類
5819,3,政府公共事務類
5820,1,政府公共事務類
5821,3,
5822,1,
5823,1,休閒與觀光旅遊類
5824,3,醫療保健類
5825,5,
5826,1,教育與訓練類
5827,3,教育與訓練類
5828,5,
5829,5,
5830,1,
5831,3,藝文與影音傳播類
5832,5,
5833,5,
5834,1,
5835,3,藝文與影音傳播類
5836,1,企業經營管理類
5837,1,金融財務類
5838,5,
5839,1,行銷與銷售類
5840,3,個人及社會服務類
5841,1,
5842,1,企業經營管理類
5843,3,
5844,1,休閒與觀光旅遊類
5845,5,
5846,3,休閒與觀光旅遊類
5847,1,休閒與觀光旅遊類
5848,3,物流運輸類
5849,1,藝文與影音傳播類
5850,3,資訊科技類
5851,5,
5852,3,教育與訓練類
5853,1,企業經營管理類
5854,3,藝文與影音傳播類
5855,5,
5856,1,藝文與影音傳播類
5857,5,
5858,3,政府公共事務類
5859,1,
5860,5,
5861,3,藝文與影音傳播類
5862,5,
5863,3,藝文與影音傳播類
5864,5,
5865,3,行銷與銷售類
5866,1,金融財務類
5867,3,
5868,5,
5869,3,企業經營管理類
5870,5,
5871,3,
5872,3,物流運輸類
5873,3,行銷與銷售類
5874,1,
5875,3,行銷與銷售類
5876,3,藝文與影音傳播類
5877,1,行銷與銷售類
5878,1,藝文與影音傳播類
5879,1,
5880,5,
