,畢業滿_年,工作職業類型
374,3,資訊科技類
375,3,資訊科技類
376,5,
377,5,
378,3,行銷與銷售類
379,5,
380,3,資訊科技類
381,5,
382,3,資訊科技類
383,5,
384,3,資訊科技類
385,5,
386,3,製造業
387,3,
388,3,科學、技術、工程、數學類
389,3,資訊科技類
390,3,休閒與觀光旅遊類
391,5,
392,3,教育與訓練類
393,3,休閒與觀光旅遊類
394,3,物流運輸類
395,3,
396,3,資訊科技類
397,3,資訊科技類
398,1,行銷與銷售類
399,5,
400,3,資訊科技類
401,3,資訊科技類
402,5,
403,3,行銷與銷售類
404,5,
405,3,物流運輸類
406,3,資訊科技類
407,5,
408,3,製造業
409,3,製造業
410,3,建築營造業
411,3,製造業
412,1,資訊科技類
413,3,政府公共事務類
414,5,
415,3,資訊科技類
416,3,行銷與銷售類
417,3,行銷與銷售類
418,3,
419,3,資訊科技類
420,3,
421,3,個人及社會服務類
422,3,行銷與銷售類
423,5,
424,3,物流運輸類
425,3,教育與訓練類
426,5,
427,3,企業經營管理類
428,5,
429,3,資訊科技類
430,3,
431,5,
432,5,
433,5,
434,5,
435,3,休閒與觀光旅遊類
436,5,
437,5,
438,3,行銷與銷售類
439,5,
440,5,
441,3,教育與訓練類
442,3,製造業
443,5,
444,3,行銷與銷售類
445,3,行銷與銷售類
446,3,行銷與銷售類
447,5,
448,5,
449,3,
450,5,
451,5,
452,5,
453,5,
454,3,行銷與銷售類
455,5,
456,3,金融財務類
457,5,
458,5,
459,3,
460,5,
461,5,
462,5,
463,5,
464,3,
465,5,
466,5,
467,5,
468,5,
469,3,行銷與銷售類
470,5,
471,3,
472,5,
473,3,政府公共事務類
474,5,
475,5,
476,3,企業經營管理類
477,1,金融財務類
478,3,
479,5,
480,1,金融財務類
481,3,
482,5,
483,5,
484,5,
485,3,物流運輸類
486,5,
487,5,
488,3,個人及社會服務類
489,5,
490,5,
491,5,
492,3,金融財務類
493,5,
494,5,
495,3,
496,5,
497,3,
498,5,
499,5,
500,5,
501,3,企業經營管理類
502,3,行銷與銷售類
503,1,行銷與銷售類
504,5,
505,5,
506,3,金融財務類
507,1,金融財務類
508,5,
509,3,
510,1,政府公共事務類
511,5,
512,3,
513,3,
514,5,
515,3,金融財務類
516,5,
517,3,企業經營管理類
518,5,
519,5,
520,5,
521,3,金融財務類
522,3,
523,5,
524,5,
525,5,
526,5,
527,5,
528,3,
529,5,
530,5,
531,1,
532,5,
533,5,
534,1,金融財務類
535,5,
536,3,
537,1,醫療保健類
538,3,醫療保健類
539,3,製造業
540,1,製造業
541,3,政府公共事務類
542,5,
543,5,
544,3,金融財務類
545,1,
546,5,
547,5,
548,5,
549,1,
550,5,
551,3,醫療保健類
552,3,
553,1,
554,1,
555,3,
556,1,
557,3,
558,5,
559,3,休閒與觀光旅遊類
560,5,
561,1,
562,1,
563,3,
564,1,
565,3,
566,3,物流運輸類
567,1,
568,5,
569,1,
570,5,
571,5,
572,3,
573,1,
574,1,
575,5,
576,3,
577,5,
578,3,政府公共事務類
579,1,企業經營管理類
580,5,
581,5,
582,1,
583,3,
584,3,政府公共事務類
585,1,
586,1,
587,3,
588,5,
589,1,物流運輸類
590,5,
591,5,
592,3,
593,5,
594,3,企業經營管理類
595,1,
596,5,
597,5,
598,5,
599,3,金融財務類
600,5,
601,5,
602,3,醫療保健類
603,5,
604,3,
605,1,行銷與銷售類
606,5,
607,5,
608,5,
609,5,
610,3,製造業
611,5,
612,5,
613,5,
614,1,
615,5,
616,5,
617,3,
618,3,製造業
619,1,
620,5,
621,3,
622,5,
623,3,
624,5,
625,3,
626,5,
627,5,
628,3,金融財務類
629,5,
630,3,
631,3,
632,5,
633,3,休閒與觀光旅遊類
634,5,
635,5,
636,3,醫療保健類
637,5,
638,5,
639,5,
640,5,
641,5,
642,1,企業經營管理類
643,5,
644,5,
645,3,金融財務類
646,5,
647,3,
648,5,
649,5,
650,3,
651,5,
652,5,
653,1,
654,5,
655,3,物流運輸類
656,1,天然資源、食品與農業類
657,5,
658,5,
659,5,
660,5,
661,5,
662,5,
663,5,
664,1,
665,5,
666,5,
667,5,
668,5,
669,5,
670,5,
671,5,
672,1,
673,5,
674,1,
675,5,
676,3,教育與訓練類
677,1,
678,1,
679,3,
680,1,
681,3,行銷與銷售類
682,1,
683,5,
684,5,
685,1,
686,3,行銷與銷售類
687,5,
688,5,
689,1,
690,1,
691,5,
692,1,
693,5,
694,1,
695,1,
696,1,
697,3,資訊科技類
698,5,
699,5,
700,1,
701,3,物流運輸類
702,5,
703,1,資訊科技類
704,1,
705,1,
706,5,
707,1,
708,3,
709,1,
710,1,
711,3,
712,1,
713,3,
714,1,
715,1,
716,1,
717,3,金融財務類
718,3,
719,1,
720,1,
721,3,
722,1,
723,1,
724,3,
725,5,
726,3,個人及社會服務類
727,1,
728,5,
729,3,行銷與銷售類
730,5,
731,3,
732,5,
733,1,
734,5,
735,3,製造業
736,3,金融財務類
737,5,
738,5,
739,3,
740,3,藝文與影音傳播類
741,3,製造業
742,3,行銷與銷售類
743,3,
744,5,
745,5,
746,3,教育與訓練類
747,3,資訊科技類
748,1,
749,3,資訊科技類
750,5,
751,3,
752,5,
753,3,政府公共事務類
754,5,
755,5,
756,3,金融財務類
757,5,
758,5,
759,3,金融財務類
760,3,行銷與銷售類
761,5,
762,5,
763,5,
764,5,
765,5,
766,3,金融財務類
767,3,金融財務類
768,3,行銷與銷售類
769,5,
770,5,
771,3,金融財務類
772,5,
773,5,
774,5,
775,5,
776,3,資訊科技類
777,5,
778,5,
779,5,
780,5,
781,5,
782,5,
783,5,
784,5,
785,5,
786,5,
787,5,
788,5,
789,5,
790,5,
791,5,
792,5,
793,5,
794,5,
795,5,
796,5,
797,5,
798,5,
799,5,
800,5,
801,5,
802,5,
803,5,
804,5,
805,5,
806,5,
807,5,
808,5,
809,5,
810,5,
811,5,
812,5,
813,5,
814,5,
815,5,
816,3,資訊科技類
817,5,
818,5,
819,5,
820,5,
821,5,
822,5,
823,5,
824,5,
825,5,
826,5,
827,5,
828,5,
829,5,
830,5,
831,5,
832,5,
833,5,
834,5,
835,5,
836,5,
837,5,
838,5,
839,5,
840,3,個人及社會服務類
841,5,
842,5,
843,5,
844,5,
845,5,
846,5,
847,5,
848,5,
849,5,
850,5,
851,5,
852,5,
853,5,
854,5,
855,5,
856,5,
857,5,
858,3,休閒與觀光旅遊類
859,5,
860,5,
861,5,
862,5,
863,5,
864,5,
865,5,
866,5,
867,5,
868,3,醫療保健類
869,5,
870,5,
871,5,
872,3,資訊科技類
873,5,
874,5,
875,5,
876,5,
877,5,
878,5,
879,5,
880,5,
881,5,
882,5,
883,5,
884,5,
885,5,
886,5,
887,5,
888,5,
889,5,
890,3,金融財務類
891,5,
892,5,
893,5,
894,5,
895,5,
896,5,
897,5,
898,5,
899,3,金融財務類
900,1,金融財務類
901,5,
902,3,金融財務類
903,5,
904,3,金融財務類
905,3,金融財務類
906,5,
907,5,
908,1,行銷與銷售類
909,3,金融財務類
910,5,
911,3,金融財務類
912,5,
913,1,資訊科技類
914,3,金融財務類
915,5,
916,3,金融財務類
917,3,金融財務類
918,5,
919,3,金融財務類
920,5,
921,3,金融財務類
922,5,
923,3,金融財務類
924,5,
925,5,
926,5,
927,3,金融財務類
928,5,
929,3,
930,1,
931,5,
932,5,
933,3,金融財務類
934,5,
935,3,金融財務類
936,5,
937,3,資訊科技類
938,5,
939,3,金融財務類
940,5,
941,5,
942,3,教育與訓練類
943,5,
944,1,金融財務類
945,3,金融財務類
946,3,
947,3,金融財務類
948,5,
949,3,企業經營管理類
950,5,
951,3,金融財務類
952,5,
953,3,金融財務類
954,1,金融財務類
955,5,
956,3,金融財務類
957,3,金融財務類
958,5,
959,5,
960,3,金融財務類
961,5,
962,3,金融財務類
963,3,金融財務類
964,5,
965,3,企業經營管理類
966,3,政府公共事務類
967,3,金融財務類
968,1,金融財務類
969,1,
970,3,行銷與銷售類
971,3,金融財務類
972,5,
973,3,金融財務類
974,5,
975,3,金融財務類
976,3,金融財務類
977,5,
978,3,金融財務類
979,5,
980,5,
981,3,
982,3,
983,5,
984,5,
985,1,金融財務類
986,5,
987,3,金融財務類
988,3,金融財務類
989,5,
990,3,企業經營管理類
991,3,教育與訓練類
992,3,金融財務類
993,5,
994,3,金融財務類
995,3,金融財務類
996,3,金融財務類
997,5,
998,3,行銷與銷售類
999,3,金融財務類
1000,5,
1001,3,科學、技術、工程、數學類
1002,5,
1003,3,金融財務類
1004,5,
1005,5,
1006,3,休閒與觀光旅遊類
1007,5,
1008,1,醫療保健類
1009,3,金融財務類
1010,3,行銷與銷售類
1011,5,
1012,3,行銷與銷售類
1013,3,企業經營管理類
1014,5,
1015,5,
1016,5,
1017,3,金融財務類
1018,3,科學、技術、工程、數學類
1019,5,
1020,3,政府公共事務類
1021,3,金融財務類
1022,3,金融財務類
1023,3,金融財務類
1024,3,金融財務類
1025,1,教育與訓練類
1026,5,
1027,5,
1028,3,行銷與銷售類
1029,3,金融財務類
1030,5,
1031,3,天然資源、食品與農業類
1032,1,企業經營管理類
1033,3,金融財務類
1034,3,金融財務類
1035,5,
1036,3,製造業
1037,3,
1038,3,金融財務類
1039,5,
1040,3,
1041,5,
1042,3,休閒與觀光旅遊類
1043,3,金融財務類
1044,3,金融財務類
1045,3,金融財務類
1046,3,
1047,1,
1048,5,
1049,3,製造業
1050,5,
1051,5,
1052,5,
1053,3,金融財務類
1054,5,
1055,5,
1056,3,金融財務類
1057,3,行銷與銷售類
1058,5,
1059,3,金融財務類
1060,5,
1061,3,教育與訓練類
1062,5,
1063,3,行銷與銷售類
1064,3,政府公共事務類
1065,3,金融財務類
1066,5,
1067,3,製造業
1068,3,金融財務類
1069,3,政府公共事務類
1070,5,
1071,5,
1072,3,金融財務類
1073,3,科學、技術、工程、數學類
1074,3,
1075,1,科學、技術、工程、數學類
1076,3,金融財務類
1077,5,
1078,5,
1079,3,金融財務類
1080,3,金融財務類
1081,5,
1082,3,金融財務類
1083,5,
1084,3,行銷與銷售類
1085,1,政府公共事務類
1086,5,
1087,5,
1088,3,金融財務類
1089,3,教育與訓練類
1090,3,金融財務類
1091,3,休閒與觀光旅遊類
1092,3,金融財務類
1093,3,金融財務類
1094,5,
1095,5,
1096,3,政府公共事務類
1097,5,
1098,3,金融財務類
1099,5,
1100,3,金融財務類
1101,3,金融財務類
1102,5,
1103,3,金融財務類
1104,5,
1105,3,金融財務類
1106,5,
1107,5,
1108,3,金融財務類
1109,3,金融財務類
1110,5,
1111,5,
1112,3,金融財務類
1113,5,
1114,3,金融財務類
1115,3,金融財務類
1116,5,
1117,3,金融財務類
1118,5,
1119,1,休閒與觀光旅遊類
1120,5,
1121,3,金融財務類
1122,5,
1123,1,金融財務類
1124,3,金融財務類
1125,1,行銷與銷售類
1126,5,
1127,3,行銷與銷售類
1128,3,
1129,5,
1130,3,醫療保健類
1131,1,
1132,5,
1133,3,
1134,3,企業經營管理類
1135,1,企業經營管理類
1136,3,
1137,1,
1138,5,
1139,5,
1140,3,行銷與銷售類
1141,1,科學、技術、工程、數學類
1142,5,
1143,1,物流運輸類
1144,3,製造業
1145,1,
1146,3,
1147,5,
1148,1,行銷與銷售類
1149,5,
1150,1,製造業
1151,5,
1152,3,行銷與銷售類
1153,5,
1154,3,製造業
1155,3,教育與訓練類
1156,5,
1157,3,
1158,1,行銷與銷售類
1159,3,資訊科技類
1160,3,企業經營管理類
1161,5,
1162,1,金融財務類
1163,5,
1164,3,金融財務類
1165,1,行銷與銷售類
1166,1,
1167,1,政府公共事務類
1168,3,企業經營管理類
1169,5,
1170,1,物流運輸類
1171,5,
1172,3,金融財務類
1173,5,
1174,3,物流運輸類
1175,5,
1176,3,製造業
1177,3,休閒與觀光旅遊類
1178,5,
1179,3,企業經營管理類
1180,1,
1181,5,
1182,3,金融財務類
1183,5,
1184,5,
1185,1,
1186,3,金融財務類
1187,3,資訊科技類
1188,1,
1189,5,
1190,1,金融財務類
1191,3,金融財務類
1192,5,
1193,3,金融財務類
1194,1,行銷與銷售類
1195,1,金融財務類
1196,5,
1197,3,休閒與觀光旅遊類
1198,3,金融財務類
1199,3,醫療保健類
1200,5,
1201,1,行銷與銷售類
1202,3,
1203,5,
1204,5,
1205,3,
1206,5,
1207,3,教育與訓練類
1208,1,教育與訓練類
1209,3,金融財務類
1210,3,金融財務類
1211,5,
1212,3,
1213,1,
1214,5,
1215,3,金融財務類
1216,1,金融財務類
1217,3,金融財務類
1218,1,
1219,1,物流運輸類
1220,5,
1221,3,物流運輸類
1222,1,行銷與銷售類
1223,5,
1224,5,
1225,3,
1226,5,
1227,5,
1228,3,教育與訓練類
1229,5,
1230,3,休閒與觀光旅遊類
1231,1,行銷與銷售類
1232,1,企業經營管理類
1233,3,休閒與觀光旅遊類
1234,3,行銷與銷售類
1235,1,行銷與銷售類
1236,5,
1237,5,
1238,3,行銷與銷售類
1239,3,醫療保健類
1240,5,
1241,5,
1242,3,金融財務類
1243,5,
1244,5,
1245,3,金融財務類
1246,5,
1247,5,
1248,3,金融財務類
1249,5,
1250,5,
1251,3,行銷與銷售類
1252,5,
1253,5,
1254,5,
1255,3,金融財務類
1256,3,
1257,3,司法、法律與公共安全類
1258,5,
1259,5,
1260,3,金融財務類
1261,5,
1262,5,
1263,3,企業經營管理類
1264,3,天然資源、食品與農業類
1265,3,藝文與影音傳播類
1266,1,藝文與影音傳播類
1267,3,資訊科技類
1268,5,
1269,5,
1270,5,
1271,3,
1272,5,
1273,3,休閒與觀光旅遊類
1274,3,行銷與銷售類
1275,5,
1276,5,
1277,3,行銷與銷售類
1278,3,金融財務類
1279,5,
1280,1,
1281,3,行銷與銷售類
1282,5,
1283,5,
1284,3,物流運輸類
1285,5,
1286,3,行銷與銷售類
1287,5,
1288,3,
1289,3,資訊科技類
1290,5,
1291,3,行銷與銷售類
1292,3,
1293,5,
1294,3,金融財務類
1295,5,
1296,5,
1297,5,
1298,3,建築營造業
1299,5,
1300,5,
1301,5,
1302,1,行銷與銷售類
1303,5,
1304,1,金融財務類
1305,3,物流運輸類
1306,5,
1307,3,休閒與觀光旅遊類
1308,3,行銷與銷售類
1309,5,
1310,5,
1311,1,企業經營管理類
1312,3,金融財務類
1313,5,
1314,5,
1315,3,資訊科技類
1316,5,
1317,3,
1318,5,
1319,3,金融財務類
1320,3,企業經營管理類
1321,5,
1322,1,企業經營管理類
1323,5,
1324,3,行銷與銷售類
1325,5,
1326,3,製造業
1327,3,行銷與銷售類
1328,5,
1329,3,金融財務類
1330,3,資訊科技類
1331,5,
1332,5,
1333,3,資訊科技類
1334,5,
1335,5,
1336,3,政府公共事務類
1337,3,建築營造業
1338,3,建築營造業
1339,3,醫療保健類
1340,5,
1341,5,
1342,5,
1343,5,
1344,3,行銷與銷售類
1345,3,資訊科技類
1346,3,資訊科技類
1347,5,
1348,3,
1349,3,資訊科技類
1350,5,
1351,3,資訊科技類
1352,5,
1353,3,
1354,3,資訊科技類
1355,5,
1356,5,
1357,3,資訊科技類
1358,1,
1359,3,
1360,5,
1361,3,
1362,5,
1363,3,資訊科技類
1364,5,
1365,3,資訊科技類
1366,3,資訊科技類
1367,1,資訊科技類
1368,3,資訊科技類
1369,5,
1370,3,
1371,5,
1372,3,政府公共事務類
1373,3,製造業
1374,5,
1375,3,行銷與銷售類
1376,5,
1377,3,教育與訓練類
1378,5,
1379,5,
1380,3,政府公共事務類
1381,5,
1382,3,資訊科技類
1383,3,金融財務類
1384,3,休閒與觀光旅遊類
1385,5,
1386,3,教育與訓練類
1387,3,金融財務類
1388,5,
1389,3,製造業
1390,3,資訊科技類
1391,3,政府公共事務類
1392,5,
1393,3,科學、技術、工程、數學類
1394,3,資訊科技類
1395,3,製造業
1396,3,行銷與銷售類
1397,5,
1398,3,資訊科技類
1399,5,
1400,3,資訊科技類
1401,3,資訊科技類
1402,3,製造業
1403,5,
1404,3,製造業
1405,1,行銷與銷售類
1406,3,科學、技術、工程、數學類
1407,5,
1408,5,
1409,3,政府公共事務類
1410,3,教育與訓練類
1411,3,金融財務類
1412,1,金融財務類
1413,3,金融財務類
1414,3,行銷與銷售類
1415,5,
1416,5,
1417,3,行銷與銷售類
1418,3,教育與訓練類
1419,3,休閒與觀光旅遊類
1420,3,資訊科技類
1421,5,
1422,3,教育與訓練類
1423,3,教育與訓練類
1424,5,
1425,3,政府公共事務類
1426,3,製造業
1427,3,行銷與銷售類
1428,3,休閒與觀光旅遊類
1429,3,教育與訓練類
1430,3,製造業
1431,3,休閒與觀光旅遊類
1432,5,
1433,3,企業經營管理類
1434,3,醫療保健類
1435,1,行銷與銷售類
1436,3,
1437,3,休閒與觀光旅遊類
1438,3,金融財務類
1439,5,
1440,3,製造業
1441,3,企業經營管理類
1442,5,
1443,3,
1444,1,
1445,1,
1446,1,
1447,5,
1448,5,
1449,1,
1450,1,
1451,5,
1452,5,
1453,1,
1454,1,
1455,5,
1456,1,
1457,5,
1458,1,
1459,1,
1460,1,
1461,1,
1462,5,
1463,3,金融財務類
1464,1,
1465,1,
1466,1,
1467,5,
1468,1,
1469,3,
1470,3,
1471,1,
1472,5,
1473,1,
1474,1,
1475,1,
1476,1,
1477,5,
1478,3,科學、技術、工程、數學類
1479,1,
1480,3,企業經營管理類
1481,5,
1482,1,
1483,1,
1484,5,
1485,1,
1486,1,天然資源、食品與農業類
1487,1,
1488,1,
1489,3,
1490,5,
1491,1,
1492,1,
1493,1,
1494,1,
1495,1,
1496,1,
1497,3,
1498,3,
1499,1,
1500,1,金融財務類
1501,5,
1502,1,
1503,1,
1504,1,
1505,5,
1506,1,
1507,1,
1508,1,
1509,1,
1510,5,
1511,5,
1512,1,
1513,3,休閒與觀光旅遊類
1514,5,
1515,1,
1516,1,金融財務類
1517,1,
1518,1,
1519,5,
1520,1,
1521,5,
1522,1,
1523,5,
1524,1,
1525,1,
1526,1,
1527,3,
1528,1,
1529,1,金融財務類
1530,1,金融財務類
1531,1,
1532,3,
1533,1,
1534,5,
1535,1,
1536,5,
1537,1,
1538,5,
1539,5,
1540,1,
1541,1,
1542,5,
1543,1,
1544,1,
1545,1,金融財務類
1546,3,個人及社會服務類
1547,1,
1548,1,
1549,1,金融財務類
1550,5,
1551,1,
1552,1,
1553,5,
1554,5,
1555,1,
1556,1,
1557,3,
1558,5,
1559,5,
