,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
4916,畢業,五專會計資訊科,107,日五專,3
4917,畢業,五專會計資訊科,107,日五專,1
4918,畢業,五專會計資訊科,107,日五專,1
4919,畢業,五專會計資訊科,107,日五專,3
4920,畢業,五專會計資訊科,107,日五專,3
4921,畢業,五專會計資訊科,107,日五專,1
4922,畢業,五專會計資訊科,109,日五專,1
4923,畢業,五專會計資訊科,107,日五專,1
4924,畢業,五專會計資訊科,107,日五專,3
4925,畢業,五專會計資訊科,107,日五專,1
4926,畢業,五專會計資訊科,107,日五專,3
4927,畢業,五專會計資訊科,107,日五專,1
4928,畢業,五專會計資訊科,107,日五專,3
4929,畢業,五專會計資訊科,107,日五專,1
4930,畢業,五專會計資訊科,107,日五專,3
4931,畢業,五專會計資訊科,107,日五專,3
4932,畢業,五專會計資訊科,107,日五專,1
4933,畢業,五專會計資訊科,107,日五專,1
4934,畢業,五專會計資訊科,107,日五專,1
4935,畢業,五專會計資訊科,107,日五專,3
4936,畢業,五專會計資訊科,108,日五專,1
4937,畢業,五專會計資訊科,107,日五專,3
4938,畢業,五專會計資訊科,107,日五專,3
4939,畢業,五專會計資訊科,107,日五專,1
4940,畢業,五專會計資訊科,107,日五專,3
4941,畢業,五專會計資訊科,107,日五專,1
4942,畢業,五專會計資訊科,107,日五專,1
4943,畢業,五專會計資訊科,107,日五專,3
4944,畢業,五專會計資訊科,108,日五專,1
4945,畢業,五專會計資訊科,107,日五專,3
4946,畢業,五專會計資訊科,107,日五專,1
4947,畢業,五專會計資訊科,107,日五專,3
4948,畢業,五專應外,107,日五專,3
4949,畢業,五專應外,107,日五專,1
4950,畢業,五專財金,107,日五專,1
4951,畢業,五專財金,108,日五專,1
4952,畢業,五專財金,107,日五專,1
4953,畢業,五專財金,107,日五專,3
4954,畢業,五專財金,107,日五專,1
4955,畢業,五專財金,107,日五專,1
4956,畢業,五專財金,107,日五專,1
